CDK1,CENPA
CDK1,HIST1H2BD
CDK1,HIST1H2BG
CDK1,ZWILCH
CDK1,HIST1H2BK
CDK1,RCC2
CDK1,LMNB1
CDK1,UBE2C
CDK1,H2AFX
CDK1,CDC20
CDK1,NCAPG
CDK1,SPC25
CDK1,SPC24
AGPAT2,LPCAT1
AGPAT2,LPIN1
PSMB3,MAD2L1
PSMB3,CCNA2
PSMB3,BUB3
PSMB3,BUB1B
PSMB3,UBE2C
PSMB3,CCNE1
PSMB3,ANAPC11
PSMB3,CDC20
PSMB3,CDK1
hsa-let-7f-5p,CCND1
hsa-let-7f-5p,POSTN
KIF20A,PLK1
KIF20A,BIRC5
KIF20A,CDCA8
KIF20A,AURKB
FCGR3A,BAIAP2
FCGR3A,VAV2
PSMD3,MAD2L1
PSMD3,CCNA2
PSMD3,BUB3
PSMD3,BUB1B
PSMD3,UBE2C
PSMD3,CCNE1
PSMD3,ANAPC11
PSMD3,CDC20
PSMD3,CDK1
RRM2,NME1
RRM2,NME3
hsa-miR-141-3p,YAP1
BIRC5,RACGAP1
BIRC5,CENPA
BIRC5,KIF23
BIRC5,KIF2C
LPIN1,PNPLA2
SLC9A3R1,VAV2
SLC9A3R1,GSN
hsa-miR-331-3p,E2F1
hsa-miR-30b-5p,MBNL2
hsa-miR-30b-5p,BCL9
hsa-miR-30b-5p,CAT
AURKA,PLK1
AURKA,CDC25B
AURKA,TACC3
AURKA,CENPA
AURKA,DLGAP5
AURKB,STMN1
AURKB,RACGAP1
AURKB,SMC4
AURKB,CENPA
AURKB,VIM
AURKB,KIF23
AURKB,NCAPG
AURKB,NDC80
AURKB,KIF2C
LPCAT1,ACSS2
LPCAT1,PEMT
LPCAT1,PAFAH1B3
LPCAT1,LPIN1
CDCA8,RACGAP1
CDCA8,CENPA
CDCA8,KIF23
CDCA8,KIF2C
BCL9,HIST1H2BD
BCL9,HIST1H2BG
BCL9,H2AFX
BCL9,HIST2H2BE
BCL9,HIST1H2BK
hsa-miR-21-5p,NCAPG
hsa-miR-135b-5p,THBS2
MND1,HIST2H2BE
MND1,H2AFX
MND1,HIST1H2BD
MND1,HIST1H2BG
MND1,RAD51
MND1,HIST1H2BK
hsa-miR-34a-5p,ERBB2
hsa-miR-34a-5p,STMN1
hsa-miR-34a-5p,E2F1
hsa-miR-34a-5p,CCND1
hsa-miR-34a-5p,BIRC5
hsa-miR-34a-5p,BAX
hsa-miR-34a-5p,RAD51
CCNA2,E2F2
CCNA2,E2F1
CCNA2,CDT1
CCNA2,ORC1
CCNA2,MCM4
CCNA2,FOXM1
CCNA2,CDC6
hsa-miR-19a-3p,CCND1
hsa-miR-19a-3p,TNFRSF12A
hsa-miR-181b-5p,E2F1
hsa-miR-181b-5p,FOS
CCNB2,MAD2L1
CCNB2,BUB1B
CCNB2,PLK1
CCNB2,ZWINT
CCNB2,BIRC5
CCNB2,FOXM1
CCNB2,NDC80
CCNB2,KIF2C
CCNB2,CENPH
CCNB2,SMC4
CCNB2,SKA1
CCNB2,AURKB
CCNB2,CDCA5
CCNB2,CDCA8
CCNB2,NUP210
CCNB2,CENPN
CCNB2,CENPM
CCNB2,CENPL
CCNB2,BUB1
CCNB2,BUB3
CCNB2,NUF2
CCNB2,CENPF
CCNB2,CENPA
CCNB2,ZWILCH
CCNB2,RCC2
CCNB2,CDC20
CCNB2,NCAPG
CCNB2,SPC25
CCNB2,SPC24
CCNB1,NCAPG2
CCNB1,BUB1B
CCNB1,PLK1
CCNB1,ZWINT
CCNB1,BIRC5
CCNB1,MAD2L1
CCNB1,FOXM1
CCNB1,HIST2H2BE
CCNB1,NDC80
CCNB1,KIF2C
CCNB1,LPIN1
CCNB1,CENPH
CCNB1,ANAPC11
CCNB1,SMC4
CCNB1,SKA1
CCNB1,AURKB
CCNB1,CDCA5
CCNB1,CDCA8
CCNB1,NUP210
CCNB1,CENPN
CCNB1,CENPM
CCNB1,CENPL
CCNB1,BUB1
CCNB1,BUB3
CCNB1,NUF2
CCNB1,CENPF
CCNB1,CENPA
CCNB1,HIST1H2BD
CCNB1,HIST1H2BG
CCNB1,ZWILCH
CCNB1,HIST1H2BK
CCNB1,RCC2
CCNB1,LMNB1
CCNB1,UBE2C
CCNB1,H2AFX
CCNB1,CDC20
CCNB1,NCAPG
CCNB1,SPC25
CCNB1,SPC24
hsa-miR-128-3p,NEK2
E2F1,CCNA2
E2F1,E2F2
E2F1,CDK1
E2F1,CCNE1
E2F1,CDT1
E2F1,ORC1
E2F1,TYMS
E2F1,RRM2
E2F1,TK1
E2F1,CDC45
E2F1,CDC6
hsa-miR-20a-5p,CCND1
hsa-miR-20a-5p,BAMBI
hsa-miR-20a-5p,CRIM1
hsa-miR-20a-5p,UBE2C
hsa-miR-20a-5p,E2F1
TUBG1,AURKA
CANT1,HPRT1
hsa-miR-126-3p,SLC7A5
hsa-miR-126-3p,CXCR4
