hsa-miR-125b-5p,ERBB3
hsa-miR-125b-5p,BCL3
hsa-miR-125b-5p,CDKN2D
hsa-miR-125b-5p,BAK1
FXYD3,SLC20A1
FXYD3,KCNS3
PLK1,CCNB1
PLK1,ECT2
PLK1,RAD21
PLK1,UBE2C
PLK1,ANAPC11
PLK1,KIF23
PLK1,PKMYT1
PLK1,CDC20
PLK1,CDK1
PLK1,FOXM1
PLK1,AURKA
PLK1,CDCA5
PLK1,KIF20A
PLK1,SPC24
hsa-miR-125a-5p,ERBB3
hsa-miR-125a-5p,BAK1
PKMYT1,CCNB2
PKMYT1,CCNB1
PKMYT1,CCNA2
PKMYT1,CDK1
hsa-miR-96-5p,TRIB3
hsa-miR-30d-5p,EZH2
hsa-miR-30d-5p,BCL9
hsa-miR-155-5p,CCND1
hsa-miR-155-5p,RAD51
hsa-miR-155-5p,PIK3R1
hsa-miR-143-3p,SDC1
hsa-miR-143-3p,LIMK1
hsa-miR-143-3p,GABARAPL1
hsa-miR-22-3p,MMP14
hsa-miR-22-3p,ERBB3
hsa-miR-22-3p,CCNA2
hsa-miR-22-3p,SLC2A1
hsa-miR-22-3p,TFRC
hsa-miR-22-3p,PTMS
DHRS3,RETSAT
LIG1,PCNA
ISG15,KPNA2
NUP210,SNRPB
NUP210,KPNA2
NUP210,ALYREF
NUP210,SNRPE
AURKA,PLK1
AURKA,CDC25B
AURKA,TACC3
AURKA,DLGAP5
ERBB3,BAIAP2
ERBB3,VAV3
ERBB3,VAV2
ERBB3,FCGR3A
ERBB3,PIK3R1
SAP30,HIST1H4I
SAP30,HIST1H4H
SAP30,H2AFX
SAP30,H2AFZ
SAP30,HIST1H2BD
SAP30,HIST2H2BE
CDKN2D,CCND1
LPCAT1,PAFAH1B3
hsa-miR-338-3p,CCND1
hsa-miR-15b-5p,CCND1
hsa-miR-15b-5p,CRIM1
hsa-miR-199a-3p,PAK4
hsa-miR-199a-3p,YAP1
ACOT7,FADS2
ATP2B4,ACTA2
ATP2B4,CACNB3
ATP2B4,RAB3A
ATP2B4,VIM
PAFAH1B3,LPCAT1
SOCS3,STAT5B
CCND1,H2AFX
CCND1,HIST1H4I
CCND1,HIST1H4H
CCND1,FOXM1
CCND1,H2AFZ
ACSL1,FADS2
H2AFX,HIST1H4I
H2AFX,HIST1H4H
hsa-miR-101-3p,KLF6
hsa-miR-101-3p,EZH2
hsa-miR-101-3p,STMN1
hsa-miR-101-3p,FOS
FEN1,PCNA
H2AFZ,HIST1H4I
H2AFZ,HIST1H4H
CANT1,HPRT1
hsa-miR-148a-3p,VAV2
hsa-miR-27a-3p,YAP1
hsa-miR-27a-3p,FSTL1
hsa-miR-24-3p,PAK4
hsa-miR-24-3p,H2AFX
hsa-miR-24-3p,CCNA2
hsa-miR-24-3p,FEN1
hsa-miR-24-3p,AURKB
NEK2,AURKA
SCD,ACOT7
hsa-miR-15a-5p,CCND1
hsa-miR-15a-5p,YAP1
hsa-miR-143-5p,ERBB3
hsa-miR-127-5p,SPP1
PIK3R1,UGCG
PIK3R1,CCND1
PIK3R1,VAV3
PIK3R1,VAV2
PIK3R1,FCGR3A
PIK3R1,PLAU
PIK3R1,BAIAP2
hsa-miR-134-5p,STAT5B
hsa-miR-134-5p,FOXM1
hsa-miR-134-5p,VIM
hsa-miR-29a-3p,COL1A2
hsa-miR-29a-3p,TRAF4
hsa-miR-29a-3p,PIK3R1
MAPKAPK2,CDC25B
MAPKAPK2,HSPB1
FOS,CCND1
FOS,CDK1
FOS,PLAU
SLC20A1,FXYD3
CDC25B,CCNB2
CDC25B,CCNB1
CDC25B,CCNA2
CDC25B,CDK1
HIST1H2BD,HIST1H4I
HIST1H2BD,HIST1H4H
hsa-miR-23b-3p,HMGB2
hsa-miR-23b-3p,PLAU
hsa-miR-221-3p,CERS2
hsa-miR-221-3p,TRPS1
hsa-miR-221-3p,STMN1
hsa-miR-221-3p,SOCS3
hsa-miR-221-3p,FOS
RACGAP1,RHOQ
RACGAP1,RHOD
KIF20A,PLK1
KIF20A,BIRC5
KIF20A,PRC1
KIF20A,AURKB
KIF20A,CDCA8
DBF4,MCM4
DBF4,MCM2
UBE2T,FANCI
MMP14,LAMC1
hsa-miR-28-5p,MAD2L1
RFC4,MCM2
RFC4,FANCI
RFC4,UBE2T
RFC2,MCM2
RFC2,FANCI
RFC2,UBE2T
MBOAT2,LPCAT1
FOXM1,CCNB2
FOXM1,CCNB1
FOXM1,NEK2
FOXM1,FOS
FOXM1,PLK1
FOXM1,CDC25B
FOXM1,BIRC5
FOXM1,CCND1
FOXM1,AURKB
FOXM1,CDK1
hsa-miR-10b-5p,SDC1
hsa-miR-10b-5p,MBNL2
hsa-miR-25-3p,EZH2
A2M,RHOQ
A2M,RHOD
MMP9,SDC1
hsa-miR-150-5p,MMP14
hsa-miR-150-5p,STAT5B
hsa-miR-150-5p,SLC2A1
hsa-miR-365a-3p,CCND1
CTPS1,POLR3K
CTPS1,POLR2H
CACNB3,ACTA2
CACNB3,VIM
CACNB3,RAB3A
CACNB3,SLC39A4
CACNB3,ATP2B4
CACNB3,SLC39A6
HPRT1,QPRT
HPRT1,TYMP
AK3,CTPS1
hsa-miR-205-5p,ERBB3
hsa-miR-205-5p,LAMC1
hsa-miR-205-5p,ACSL1
hsa-miR-205-5p,EZR
EPAS1,MMP14
EPAS1,SLC2A1
EPAS1,EFNA1
hsa-miR-10a-5p,MMP14
CCNB1,MAD2L1
CCNB1,PLK1
CCNB1,ZWINT
CCNB1,HIST1H4I
CCNB1,HIST1H4H
CCNB1,DSN1
CCNB1,FOXM1
CCNB1,HIST2H2BE
CCNB1,KIF2C
CCNB1,RAD21
CCNB1,ANAPC11
CCNB1,SMC4
CCNB1,AURKB
CCNB1,CDCA5
CCNB1,CDCA8
CCNB1,NUP210
CCNB1,BIRC5
CCNB1,CENPM
CCNB1,BUB1
CCNB1,NUF2
CCNB1,HIST1H2BD
CCNB1,ZWILCH
CCNB1,RCC2
CCNB1,UBE2C
CCNB1,H2AFX
CCNB1,H2AFZ
CCNB1,CDC20
CCNB1,NCAPH
CCNB1,NCAPG
CCNB1,SPC25
CCNB1,SPC24
EFNA1,VAV3
EFNA1,VAV2
hsa-miR-30e-5p,MBNL2
hsa-miR-30e-5p,MYBL2
hsa-let-7a-5p,EZH2
hsa-let-7a-5p,PARP1
hsa-let-7a-5p,AURKB
hsa-let-7a-5p,UHRF1
hsa-let-7b-5p,CCND1
