ACCESSION,NAME
MIMAT0004610,hsa-miR-150-3p
MIMAT0000453,hsa-miR-154-3p
MIMAT0004611,hsa-miR-185-3p
MIMAT0004613,hsa-miR-188-3p
MIMAT0000459,hsa-miR-193a-3p
MIMAT0004615,hsa-miR-195-3p
MIMAT0000617,hsa-miR-200c-3p
MIMAT0004681,hsa-miR-26a-2-3p
MIMAT0000707,hsa-miR-363-3p
MIMAT0000710,hsa-miR-365a-3p
MIMAT0022834,hsa-miR-365b-3p
MIMAT0000720,hsa-miR-376c-3p
MIMAT0000721,hsa-miR-369-3p
MIMAT0000722,hsa-miR-370-3p
MIMAT0000730,hsa-miR-377-3p
MIMAT0000732,hsa-miR-378a-3p
MIMAT0000736,hsa-miR-381-3p
MIMAT0000760,hsa-miR-331-3p
MIMAT0000762,hsa-miR-324-3p
MIMAT0000763,hsa-miR-338-3p
MIMAT0004702,hsa-miR-339-3p
MIMAT0004703,hsa-miR-335-3p
MIMAT0002171,hsa-miR-410-3p
MIMAT0002173,hsa-miR-483-3p
MIMAT0002176,hsa-miR-485-3p
MIMAT0004765,hsa-miR-491-3p
MIMAT0003161,hsa-miR-493-3p
MIMAT0003180,hsa-miR-487b-3p
MIMAT0004801,hsa-miR-590-3p
MIMAT0003266,hsa-miR-598-3p
MIMAT0003283,hsa-miR-615-3p
MIMAT0004805,hsa-miR-616-3p
MIMAT0004808,hsa-miR-625-3p
MIMAT0004813,hsa-miR-411-3p
MIMAT0004814,hsa-miR-654-3p
MIMAT0003389,hsa-miR-542-3p
MIMAT0004819,hsa-miR-671-3p
MIMAT0005797,hsa-miR-1301-3p
MIMAT0003885,hsa-miR-454-3p
MIMAT0003887,hsa-miR-769-3p
MIMAT0004946,hsa-miR-744-3p
MIMAT0026738,hsa-miR-1287-3p
MIMAT0022721,hsa-miR-1247-3p
MIMAT0005933,hsa-miR-1277-3p
MIMAT0015378,hsa-miR-3065-3p
MIMAT0018073,hsa-miR-3653-3p
MIMAT0018101,hsa-miR-3677-3p
MIMAT0018110,hsa-miR-3682-3p
MIMAT0022975,hsa-miR-3934-3p
MIMAT0019696,hsa-miR-4638-3p
MIMAT0019776,hsa-miR-1343-3p
MIMAT0019850,hsa-miR-4728-3p
MIMAT0019873,hsa-miR-4742-3p
MIMAT0021044,hsa-miR-5010-3p
MIMAT0027587,hsa-miR-6842-3p
MIMAT0000070,hsa-miR-17-5p
MIMAT0000072,hsa-miR-18a-5p
MIMAT0004491,hsa-miR-19b-1-5p
MIMAT0000075,hsa-miR-20a-5p
MIMAT0000076,hsa-miR-21-5p
MIMAT0004495,hsa-miR-22-5p
MIMAT0000079,hsa-miR-24-1-5p
MIMAT0000090,hsa-miR-32-5p
MIMAT0000091,hsa-miR-33a-5p
MIMAT0000093,hsa-miR-93-5p
MIMAT0000095,hsa-miR-96-5p
MIMAT0000096,hsa-miR-98-5p
MIMAT0000097,hsa-miR-99a-5p
MIMAT0000098,hsa-miR-100-5p
MIMAT0000222,hsa-miR-192-5p
MIMAT0000226,hsa-miR-196a-5p
MIMAT0000231,hsa-miR-199a-5p
MIMAT0000242,hsa-miR-129-5p
MIMAT0004549,hsa-miR-148a-5p
MIMAT0000244,hsa-miR-30c-5p
MIMAT0000245,hsa-miR-30d-5p
MIMAT0000250,hsa-miR-139-5p
MIMAT0000252,hsa-miR-7-5p
MIMAT0000253,hsa-miR-10a-5p
MIMAT0000254,hsa-miR-10b-5p
MIMAT0000255,hsa-miR-34a-5p
MIMAT0000256,hsa-miR-181a-5p
MIMAT0000257,hsa-miR-181b-5p
MIMAT0000258,hsa-miR-181c-5p
MIMAT0000259,hsa-miR-182-5p
MIMAT0004564,hsa-miR-214-5p
MIMAT0000272,hsa-miR-215-5p
MIMAT0000274,hsa-miR-217
MIMAT0004568,hsa-miR-221-5p
MIMAT0004569,hsa-miR-222-5p
MIMAT0004570,hsa-miR-223-5p
MIMAT0004571,hsa-miR-200b-5p
MIMAT0000414,hsa-let-7g-5p
MIMAT0000415,hsa-let-7i-5p
MIMAT0000416,hsa-miR-1-3p
MIMAT0000417,hsa-miR-15b-5p
MIMAT0000420,hsa-miR-30b-5p
MIMAT0000423,hsa-miR-125b-5p
MIMAT0000431,hsa-miR-140-5p
MIMAT0000433,hsa-miR-142-5p
MIMAT0000437,hsa-miR-145-5p
MIMAT0000439,hsa-miR-153-3p
MIMAT0026480,hsa-miR-153-5p
MIMAT0000646,hsa-miR-155-5p
MIMAT0000680,hsa-miR-106b-5p
MIMAT0000099,hsa-miR-101-3p
MIMAT0000685,hsa-miR-34b-5p
MIMAT0000686,hsa-miR-34c-5p
MIMAT0022696,hsa-miR-301a-5p
MIMAT0000689,hsa-miR-99b-5p
MIMAT0000690,hsa-miR-296-5p
MIMAT0000692,hsa-miR-30e-5p
MIMAT0026483,hsa-miR-370-5p
MIMAT0001080,hsa-miR-196b-5p
MIMAT0004748,hsa-miR-423-5p
MIMAT0001413,hsa-miR-20b-5p
MIMAT0001635,hsa-miR-452-5p
MIMAT0026557,hsa-miR-412-5p
MIMAT0026559,hsa-miR-487a-5p
MIMAT0002813,hsa-miR-493-5p
MIMAT0002814,hsa-miR-432-5p
MIMAT0002818,hsa-miR-496
